source,class,covered,missed,percent,passed
openmetadata-service/src/main/java/org/openmetadata/service/apps/bundles/searchIndex/distributed/PartitionWorker.java,org/openmetadata/service/apps/bundles/searchIndex/distributed/PartitionWorker$PartitionResult,5,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/apps/scheduler/OmAppJobListener.java,org/openmetadata/service/apps/scheduler/OmAppJobListener,144,11,92.90322580645162,True
openmetadata-service/src/main/java/org/openmetadata/service/cache/CacheBundle.java,org/openmetadata/service/cache/CacheBundle,88,14,86.27450980392157,False
openmetadata-service/src/main/java/org/openmetadata/service/cache/CacheBundle.java,org/openmetadata/service/cache/CacheBundle$CacheHealthCheck,0,13,0.0,False
openmetadata-service/src/main/java/org/openmetadata/service/cache/CacheBundle.java,org/openmetadata/service/cache/CacheBundle$CacheLifecycleManager,9,2,81.81818181818181,False
openmetadata-service/src/main/java/org/openmetadata/service/cache/CacheProvider.java,org/openmetadata/service/cache/CacheProvider,4,19,17.391304347826086,False
openmetadata-service/src/main/java/org/openmetadata/service/cache/CachedEntityDao.java,org/openmetadata/service/cache/CachedEntityDao,122,39,75.77639751552795,False
openmetadata-service/src/main/java/org/openmetadata/service/cache/CachedEntityDao.java,org/openmetadata/service/cache/CachedEntityDao$Entry,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/cache/CachedReadBundle.java,org/openmetadata/service/cache/CachedReadBundle,71,43,62.280701754385966,False
openmetadata-service/src/main/java/org/openmetadata/service/cache/CachedReadBundle.java,org/openmetadata/service/cache/CachedReadBundle$Dto,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/cache/CachedReadBundle.java,org/openmetadata/service/cache/CachedReadBundle$Snapshot,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/cache/Invalidatable.java,org/openmetadata/service/cache/Invalidatable,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/cache/RedisCacheProvider.java,org/openmetadata/service/cache/RedisCacheProvider,335,166,66.86626746506985,False
openmetadata-service/src/main/java/org/openmetadata/service/context/center/ContextFileProcessingService.java,org/openmetadata/service/context/center/ContextFileProcessingService,213,50,80.98859315589354,False
openmetadata-service/src/main/java/org/openmetadata/service/context/center/ContextFileProcessingService.java,org/openmetadata/service/context/center/ContextFileProcessingService$1,2,3,40.0,False
openmetadata-service/src/main/java/org/openmetadata/service/context/center/ContextFileProcessingService.java,org/openmetadata/service/context/center/ContextFileProcessingService$ConditionalUpdateExhaustedException,2,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/context/center/ContextMemoryReconciler.java,org/openmetadata/service/context/center/ContextMemoryReconciler,109,3,97.32142857142857,True
openmetadata-service/src/main/java/org/openmetadata/service/context/center/ContextMemoryReconciler.java,org/openmetadata/service/context/center/ContextMemoryReconciler$Counts,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/context/center/ContextMemoryReconciler.java,org/openmetadata/service/context/center/ContextMemoryReconciler$ReconcileResult,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/context/center/FileContextProcessingEngine.java,org/openmetadata/service/context/center/FileContextProcessingEngine,0,34,0.0,False
openmetadata-service/src/main/java/org/openmetadata/service/context/center/PageContextProcessingEngine.java,org/openmetadata/service/context/center/PageContextProcessingEngine,78,11,87.64044943820225,False
openmetadata-service/src/main/java/org/openmetadata/service/context/entity/DefaultContextEntityPromptLoader.java,org/openmetadata/service/context/entity/DefaultContextEntityPromptLoader,14,72,16.27906976744186,False
openmetadata-service/src/main/java/org/openmetadata/service/context/entity/DefaultContextEntityPromptLoader.java,org/openmetadata/service/context/entity/DefaultContextEntityPromptLoader$LoaderDependencies,0,1,0.0,False
openmetadata-service/src/main/java/org/openmetadata/service/csv/BulkImportVersioning.java,org/openmetadata/service/csv/BulkImportVersioning,18,2,90.0,True
openmetadata-service/src/main/java/org/openmetadata/service/csv/CsvImportExportJobHandler.java,org/openmetadata/service/csv/CsvImportExportJobHandler,170,32,84.15841584158416,False
openmetadata-service/src/main/java/org/openmetadata/service/csv/CsvImportExportJobHandler.java,org/openmetadata/service/csv/CsvImportExportJobHandler$1,8,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/csv/CsvImportExportJobHandler.java,org/openmetadata/service/csv/CsvImportExportJobHandler$2,8,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/csv/CsvImportExportJobHandler.java,org/openmetadata/service/csv/CsvImportExportJobHandler$RowCountingOutputStream,13,7,65.0,False
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityBulkAssembly.java,org/openmetadata/service/entity/EntityBulkAssembly,76,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityBulkCallbacks.java,org/openmetadata/service/entity/EntityBulkCallbacks,15,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityCommandAssembly.java,org/openmetadata/service/entity/EntityCommandAssembly,90,7,92.78350515463917,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityDeletionAssembly.java,org/openmetadata/service/entity/EntityDeletionAssembly,139,2,98.58156028368795,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityDeletionCallbacks.java,org/openmetadata/service/entity/EntityDeletionCallbacks,39,2,95.1219512195122,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityFieldPolicy.java,org/openmetadata/service/entity/EntityFieldPolicy,25,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityMetadataAssembly.java,org/openmetadata/service/entity/EntityMetadataAssembly,133,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityModule.java,org/openmetadata/service/entity/EntityModule,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityModuleDependencies.java,org/openmetadata/service/entity/EntityModuleDependencies,7,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityModuleFactory.java,org/openmetadata/service/entity/EntityModuleFactory,12,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityModuleServices.java,org/openmetadata/service/entity/EntityModuleServices,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityMutationAssembly.java,org/openmetadata/service/entity/EntityMutationAssembly,82,3,96.47058823529412,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityQueryAssembly.java,org/openmetadata/service/entity/EntityQueryAssembly,65,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityQueryCallbacks.java,org/openmetadata/service/entity/EntityQueryCallbacks,13,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityStorageAssembly.java,org/openmetadata/service/entity/EntityStorageAssembly,30,1,96.7741935483871,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/EntityWriteCallbacks.java,org/openmetadata/service/entity/EntityWriteCallbacks,22,2,91.66666666666667,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bootstrap/EntitySeedInitializer.java,org/openmetadata/service/entity/bootstrap/EntitySeedInitializer,27,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bootstrap/EntitySeedInitializer.java,org/openmetadata/service/entity/bootstrap/EntitySeedInitializer$Operations,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bootstrap/EntitySeedResources.java,org/openmetadata/service/entity/bootstrap/EntitySeedResources,16,0,100.0,True
